 CrID_1 CrID_2 CrID_3
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000
